Day,DD,MMM,YYYY,   Sales  ,   %Chg
Tue,28,Feb,2023,   5842047,  -90.3
Fri,24,Feb,2023,  60482734,  +30.2
Tue,21,Feb,2023,  46454399,  -12.4
Fri,17,Feb,2023,  53000419,  +32.4
Tue,14,Feb,2023,  40015726,  -21.8
Fri,10,Feb,2023,  51199967,  +37.2
Tue, 7,Feb,2023,  37307989,  -61.3
Fri, 3,Feb,2023,  96337536,  +92.9
Tue,31,Jan,2023,  49948183,   -0.5
Fri,27,Jan,2023,  50182381,   +5.5
Tue,24,Jan,2023,  47550904,  -41.2
Fri,20,Jan,2023,  80906604, +143.2
Tue,17,Jan,2023,  33268559,  -46.2
Fri,13,Jan,2023,  61888717,  +55.4
Tue,10,Jan,2023,  39834624,  -13.8
Fri, 6,Jan,2023,  46188548,  +31.1
Tue, 3,Jan,2023,  35222536,  -26.8
Fri,30,Dec,2022,  48132454,  +36.4
Tue,27,Dec,2022,  35275621,  -28.3
Fri,23,Dec,2022,  49213360,  +28.1
Tue,20,Dec,2022,  38410220,  -46.0
Fri,16,Dec,2022,  71070612, +105.6
Tue,13,Dec,2022,  34559536,  -23.7
Fri, 9,Dec,2022,  45308244,  -14.5
Tue, 6,Dec,2022,  53001199,  -31.4
Fri, 2,Dec,2022,  77211065,  +89.5
Tue,29,Nov,2022,  40734315,  -20.1
Fri,25,Nov,2022,  50974473,  +37.0
Tue,22,Nov,2022,  37209003,  -24.2
Fri,18,Nov,2022,  49096725,  +36.0
Tue,15,Nov,2022,  36096364,  -22.3
Fri,11,Nov,2022,  46457000,  +33.2
Tue, 8,Nov,2022,  34879317,  -54.6
Fri, 4,Nov,2022,  76872227,  +57.1
Tue, 1,Nov,2022,  48930166,  -21.5
Fri,28,Oct,2022,  62359818,  +30.8
Tue,25,Oct,2022,  47662458,  -16.8
Fri,21,Oct,2022,  57294952,  +38.2
Tue,18,Oct,2022,  41449457,  -20.8
Fri,14,Oct,2022,  52346449,  +30.7
Tue,11,Oct,2022,  40061223,  -21.7
Fri, 7,Oct,2022,  51161799,  +38.0
Tue, 4,Oct,2022,  37076600,  -23.4
Fri,30,Sep,2022,  48415006,  +37.2
Tue,27,Sep,2022,  35275315,  -55.3
Fri,23,Sep,2022,  78906024,  +36.9
Tue,20,Sep,2022,  57658575,  -19.8
Fri,16,Sep,2022,  71923541,  +30.2
Tue,13,Sep,2022,  55253118,  -27.9
Fri, 9,Sep,2022,  76686521, +117.3
Tue, 6,Sep,2022,  35286960,  -44.9
Fri, 2,Sep,2022,  64088130,  +38.5
Tue,30,Aug,2022,  46289303,  -17.5
Fri,26,Aug,2022,  56078960,  +40.2
Tue,23,Aug,2022,  39988029,  -19.3
Fri,19,Aug,2022,  49534070,  +38.8
Tue,16,Aug,2022,  35699940,  -25.1
Fri,12,Aug,2022,  47644521,  +34.0
Tue, 9,Aug,2022,  35560405,  -21.1
Fri, 5,Aug,2022,  45095574,  +36.9
Tue, 2,Aug,2022,  32949421,  -31.1
Fri,29,Jul,2022,  47854774,  +35.6
Tue,26,Jul,2022,  35300045,  -34.0
Fri,22,Jul,2022,  53471395,  -36.5
Tue,19,Jul,2022,  84182084,  -16.3
Fri,15,Jul,2022, 100590425,  +16.3
Tue,12,Jul,2022,  86488148,  -17.8
Fri, 8,Jul,2022, 105277236,  +35.8
Tue, 5,Jul,2022,  77518479,   -7.8
Fri, 1,Jul,2022,  84113724,  +37.4
Tue,28,Jun,2022,  61239169,  -14.1
Fri,24,Jun,2022,  71261082,  +27.4
Tue,21,Jun,2022,  55929103,  -27.2
Fri,17,Jun,2022,  76812915, +135.3
Tue,14,Jun,2022,  32649376,  -31.5
Fri,10,Jun,2022,  47657536,  +36.8
Tue, 7,Jun,2022,  34835640,  -23.9
Fri, 3,Jun,2022,  45759506,  +36.1
Tue,31,May,2022,  33621948,  -19.5
Fri,27,May,2022,  41771365,  +18.2
Tue,24,May,2022,  35332487,  -22.7
Fri,20,May,2022,  45726642,  +37.2
Tue,17,May,2022,  33325634,  -36.1
Fri,13,May,2022,  52166774,  -37.1
Tue,10,May,2022,  82986152,   -4.8
Fri, 6,May,2022,  87216026,  +41.4
Tue, 3,May,2022,  61680644,  -21.6
Fri,29,Apr,2022,  78693167,  +44.0
Tue,26,Apr,2022,  54630868,  -13.3
Fri,22,Apr,2022,  63010913,  +52.6
Tue,19,Apr,2022,  41294753,  -16.7
Fri,15,Apr,2022,  49594146,  +30.2
Tue,12,Apr,2022,  38096498,  -21.2
Fri, 8,Apr,2022,  48362406,  +36.5
Tue, 5,Apr,2022,  35424780,  -25.1
Fri, 1,Apr,2022,  47300020,  +43.9
Tue,29,Mar,2022,  32876216,  -27.6
Fri,25,Mar,2022,  45380909,  +53.4
Tue,22,Mar,2022,  29579082,  -35.3
Fri,18,Mar,2022,  45694013,  +37.0
Tue,15,Mar,2022,  33349473,  -24.1
Fri,11,Mar,2022,  43913124,  +40.6
Tue, 8,Mar,2022,  31222615,  -37.5
Fri, 4,Mar,2022,  49935505,  +38.6
Tue, 1,Mar,2022,  36032387,  -24.3
Fri,25,Feb,2022,  47585427,  +34.7
Tue,22,Feb,2022,  35327348,  -20.9
Fri,18,Feb,2022,  44645976,  +39.5
Tue,15,Feb,2022,  32006451,  -31.4
Fri,11,Feb,2022,  46664630,  +39.7
Tue, 8,Feb,2022,  33410525,  -62.1
Fri, 4,Feb,2022,  88185988, +128.7
Tue, 1,Feb,2022,  38551849,  -21.6
Fri,28,Jan,2022,  49156987,  +40.6
Tue,25,Jan,2022,  34962704,  -60.0
