No., 5+2, 5+1,   5, 4+2,  4+1,     4,   3+2,    2+2,     3+1,        3,    1+2,     2+1,   2,       Total
1611,   0,   0,   3,     7,  135,    323,     290,   4277,     6089,     13624,     22900,    85714,    197798,   331160
1610,   0,   1,   3,    15,  294,    497,     585,   7743,    11687,     25359,     42100,   167578,    370796,   626658
1609,   0,   0,   2,     9,  142,    437,     292,   6346,     7402,     16155,     37953,   115458,    246870,   431066
1608,   0,   1,   2,    10,  232,    510,     559,   7512,    10838,     25228,     39150,   153744,    358568,   596354
1607,   0,   1,   0,     7,  171,    264,     296,   4466,     6713,     14292,     24843,   101686,    214041,   366780
1606,   0,   0,   7,    24,  277,    620,     580,   8654,    10563,     21925,     44504,   147529,    305565,   540248
1605,   0,   1,   0,     7,  112,    293,     278,   5186,     6067,     12803,     29210,    93466,    198920,   346343
1604,   0,   1,   8,    20,  418,    975,    1071,  14434,    19304,     44198,     73300,   273757,    621322,  1048808
1603,   0,   0,   0,    13,  222,    761,     418,  10176,    10130,     19455,     46775,   138643,    270968,   497561
1602,   0,   1,   2,     7,  223,    456,     642,   6174,     9887,     29557,     30981,   135645,    389361,   602936
1601,   0,   1,   2,     9,  131,    354,     288,   5375,     6498,     13713,     28053,    95342,    202333,   352099
1600,   0,   1,   1,    12,  187,    517,     368,   7082,     8707,     18918,     36312,   126281,    280176,   478562
1599,   0,   1,   0,     6,  108,    301,     282,   4518,     5633,     12245,     24122,    82525,    183925,   313666
1598,   0,   0,   2,    17,  243,    606,     608,   7864,    11156,     26467,     40148,   154711,    364223,   606045
1597,   0,   0,   2,     8,  140,    352,     334,   5369,     6491,     15232,     28613,   104122,    235403,   396066
1596,   0,   0,   0,     3,  187,    383,     384,   5479,     7555,     18116,     28599,   116027,    276624,   453357
1595,   0,   1,   3,     5,  130,    255,     252,   4425,     5795,     13024,     24888,    91159,    203949,   343886
1594,   0,   1,   1,    13,  144,    409,     387,   5812,     8135,     18606,     32985,   121543,    282734,   470770
1593,   0,   0,   0,    11,  136,    372,     275,   5242,     6887,     14083,     29323,    99528,    202872,   358729
1592,   0,   1,   1,    13,  258,    535,     566,   7601,    11598,     25877,     37919,   159106,    355956,   599431
1591,   0,   3,   1,     9,  279,    546,     591,   6673,    10576,     22313,     31228,   137709,    279004,   488932
1590,   0,   1,   0,    10,  214,    550,     456,   8275,     9289,     19377,     42389,   137527,    283003,   501091
1589,   0,   2,   5,     5,  212,    269,     683,   3916,     7480,     21574,     19649,    93436,    252475,   399706
1588,   0,   1,   3,    11,  145,    388,     394,   5642,     7857,     17851,     31768,   118835,    267124,   450019
1587,   0,   4,   0,    15,  274,    486,     683,   7447,    11930,     29613,     37969,   167272,    417630,   673323
1586,   0,   1,   1,    25,  346,    728,     830,  10922,    15360,     35265,     57325,   221490,    509770,   852063
1585,   0,   1,   0,     8,  177,    341,     409,   4759,     7341,     17793,     25724,   109280,    267171,   433004
1584,   0,   2,   3,    10,  243,    575,     511,   7842,    10138,     22844,     42609,   149637,    333214,   567628
1583,   0,   0,   0,     3,  142,    328,     320,   5660,     7175,     15839,     30804,   110580,    243746,   414597
1582,   0,   1,   3,    11,  201,    426,     489,   6309,     9062,     22401,     33587,   134426,    331822,   538738
1581,   0,   2,   0,     6,  141,    281,     412,   3981,     6337,     18476,     21185,    89797,    251800,   392418
1580,   0,   1,   2,    12,  225,    454,     456,   6820,     9935,     23080,     33961,   139753,    328283,   542982
1579,   0,   1,   1,     5,  132,    234,     331,   4036,     5706,     13276,     23034,    88362,    206520,   341638
1578,   0,   1,   4,    19,  399,    837,     849,  12545,    18552,     39232,     68954,   280600,    591303,  1013295
1577,   0,   1,   2,     7,  212,    499,     487,   7754,    10270,     24854,     41177,   152654,    365365,   603282
1576,   0,   0,   7,    21,  695,    615,    2014,   9027,    14108,     36837,     46883,   195877,    489291,   795375
1575,   0,   1,   1,     9,  203,    449,     505,   6673,     9032,     22241,     35690,   133968,    326156,   534928
1574,   0,   1,   3,    11,  249,    483,     561,   7225,    10265,     24845,     39605,   152632,    369470,   605350
1573,   0,   1,   2,    12,  174,    383,     356,   5499,     7767,     18181,     29338,   116988,    277114,   455815
1572,   0,   0,   1,    12,  190,    633,     437,   9654,     9905,     20955,     56330,   155013,    324664,   577794
1571,   0,   0,   5,     6,  177,    322,     398,   4922,     7370,     17374,     27185,   104897,    243263,   405919
1570,   0,   0,   3,     3,  202,    352,     408,   5761,     7785,     19231,     31705,   118220,    310277,   493947
1569,   0,   0,   1,     7,  133,    262,     349,   4328,     6242,     14923,     23221,    93540,    221353,   364359
1568,   0,   1,   2,    13,  236,    424,     673,   6250,    10312,     25964,     31381,   138652,    338023,   551931
1567,   0,   1,   0,    10,  144,    257,     252,   4129,     5900,     13614,     22312,    89012,    198777,   334408
1566,   1,   3,   1,    30,  346,    862,     756,  12926,    15508,     33630,     70650,   232436,    500944,   868093
1565,   0,   2,   3,     7,  293,    609,     752,   7943,    12447,     28873,     39955,   168371,    397625,   656880
1564,   0,   2,   4,     7,  325,    621,     693,   9495,    14810,     30660,     52611,   208647,    435556,   753431
1563,   0,   1,   0,     8,  197,    474,     523,   6678,     9950,     24237,     35818,   145348,    361537,   584771
1562,   0,   2,   2,    24,  390,   1003,     886,  15096,    16415,     35214,     71243,   230808,    488332,   859415
1561,   0,   1,   0,    11,  234,    373,     404,   5108,     8358,     16766,     25439,   108880,    220255,   385829
1560,   1,   1,   7,    11,  317,    651,     780,   9567,    15050,     34624,     49760,   210916,    492904,   814589
1559,   0,   2,   3,     6,  345,    567,     655,   7182,    12204,     25702,     33515,   148924,    329673,   558778
1558,   0,   1,   1,     9,  216,    460,     624,   6473,    10503,     27121,     34755,   152731,    395301,   628195
1557,   0,   0,   3,     7,  188,    355,     383,   5469,     8622,     18313,     29738,   126681,    261847,   451606
1556,   0,   4,   1,    14,  241,    628,     580,   9038,    12414,     25862,     43918,   165821,    359960,   618481
1555,   0,   0,   1,     5,  197,    409,     380,   5301,     7926,     16310,     27680,   117329,    240450,   415988
1554,   0,   0,   1,     8,  201,    413,     471,   6425,     8838,     20879,     34346,   128095,    307688,   507365
1553,   0,   0,   2,     5,  151,    385,     381,   5243,     7944,     17261,     26313,   111657,    247875,   417217
1552,   0,   0,   1,    13,  177,    382,     396,   5430,     8317,     19505,     29221,   121707,    289093,   474242
1551,   0,   1,   0,     5,  127,    345,     322,   4368,     6883,     14646,     22898,    94120,    212543,   356258
1550,   0,   0,   3,    14,  194,    608,     407,   8439,     9675,     19846,     44672,   137755,    288771,   510384
1549,   0,   3,   1,     8,  252,    481,     651,   6005,     9731,     22571,     27038,   119463,    278072,   464276
